lat,lon,timezone,timezone_offset,data
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483282800, 'sunrise': 1483257025, 'sunset': 1483285040, 'temp': 274.7, 'feels_like': 270.1, 'pressure': 1016, 'humidity': 98, 'dew_point': 274.42, 'clouds': 100, 'visibility': 2400, 'wind_speed': 5.14, 'wind_deg': 190, 'weather': [{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}, {'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}], 'snow': {'1h': 0.11}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483369200, 'sunrise': 1483343415, 'sunset': 1483371505, 'temp': 278.17, 'feels_like': 275.61, 'pressure': 1024, 'humidity': 81, 'dew_point': 275.19, 'clouds': 40, 'visibility': 10000, 'wind_speed': 3.09, 'wind_deg': 300, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483455600, 'sunrise': 1483429801, 'sunset': 1483457973, 'temp': 279.37, 'feels_like': 274.62, 'pressure': 1020, 'humidity': 85, 'dew_point': 277.04, 'clouds': 100, 'visibility': 10000, 'wind_speed': 9, 'wind_deg': 270, 'wind_gust': 13, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.15}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483542000, 'sunrise': 1483516184, 'sunset': 1483544443, 'temp': 279.18, 'feels_like': 274.1, 'pressure': 1017, 'humidity': 62, 'dew_point': 272.54, 'clouds': 75, 'visibility': 10000, 'wind_speed': 10, 'wind_deg': 330, 'wind_gust': 18, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483628400, 'sunrise': 1483602564, 'sunset': 1483630916, 'temp': 274.78, 'feels_like': 270.79, 'pressure': 1035, 'humidity': 68, 'dew_point': 269.94, 'clouds': 0, 'visibility': 10000, 'wind_speed': 4.12, 'wind_deg': 50, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483714800, 'sunrise': 1483688940, 'sunset': 1483717392, 'temp': 272.58, 'feels_like': 268.08, 'pressure': 1038, 'humidity': 73, 'dew_point': 268.83, 'clouds': 40, 'visibility': 10000, 'wind_speed': 4.12, 'wind_deg': 180, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483801200, 'sunrise': 1483775313, 'sunset': 1483803871, 'temp': 276.33, 'feels_like': 273.4, 'pressure': 1029, 'humidity': 96, 'dew_point': 275.75, 'clouds': 75, 'visibility': 1200, 'wind_speed': 3.09, 'wind_deg': 190, 'weather': [{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483887600, 'sunrise': 1483861683, 'sunset': 1483890351, 'temp': 278.29, 'feels_like': 278.29, 'pressure': 1031, 'humidity': 79, 'dew_point': 274.95, 'clouds': 100, 'visibility': 10000, 'wind_speed': 1.03, 'wind_deg': 0, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1483974000, 'sunrise': 1483948049, 'sunset': 1483976834, 'temp': 278.93, 'feels_like': 274.67, 'pressure': 1017, 'humidity': 99, 'dew_point': 278.79, 'clouds': 100, 'visibility': 1100, 'wind_speed': 7, 'wind_deg': 190, 'wind_gust': 9, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484060400, 'sunrise': 1484034412, 'sunset': 1484063320, 'temp': 279.28, 'feels_like': 277.01, 'pressure': 1009, 'humidity': 89, 'dew_point': 277.61, 'clouds': 40, 'visibility': 10000, 'wind_speed': 3, 'wind_deg': 230, 'wind_gust': 6, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484146800, 'sunrise': 1484120772, 'sunset': 1484149807, 'temp': 281.03, 'feels_like': 276.33, 'pressure': 1004, 'humidity': 70, 'dew_point': 275.9, 'clouds': 40, 'visibility': 10000, 'wind_speed': 11, 'wind_deg': 280, 'wind_gust': 20, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484233200, 'sunrise': 1484207129, 'sunset': 1484236297, 'temp': 278.56, 'feels_like': 275.51, 'pressure': 1001, 'humidity': 90, 'dew_point': 277.05, 'clouds': 40, 'visibility': 10000, 'wind_speed': 4, 'wind_deg': 230, 'wind_gust': 14, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.52}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484319600, 'sunrise': 1484293483, 'sunset': 1484322788, 'temp': 276.34, 'feels_like': 270.89, 'pressure': 999, 'humidity': 90, 'dew_point': 274.86, 'clouds': 75, 'visibility': 10000, 'wind_speed': 8.23, 'wind_deg': 260, 'weather': [{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}], 'rain': {'1h': 0.36}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484406000, 'sunrise': 1484379833, 'sunset': 1484409282, 'temp': 276.66, 'feels_like': 270.83, 'pressure': 1013, 'humidity': 70, 'dew_point': 271.88, 'clouds': 40, 'visibility': 10000, 'wind_speed': 9.77, 'wind_deg': 330, 'wind_gust': 14.92, 'weather': [{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484492400, 'sunrise': 1484466181, 'sunset': 1484495777, 'temp': 276.28, 'feels_like': 274.27, 'pressure': 1020, 'humidity': 91, 'dew_point': 274.96, 'clouds': 100, 'visibility': 10000, 'wind_speed': 2.06, 'wind_deg': 180, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484578800, 'sunrise': 1484552526, 'sunset': 1484582274, 'temp': 273.24, 'feels_like': 269.27, 'pressure': 1029, 'humidity': 76, 'dew_point': 269.94, 'clouds': 0, 'visibility': 10000, 'wind_speed': 3.6, 'wind_deg': 90, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484665200, 'sunrise': 1484638868, 'sunset': 1484668772, 'temp': 271.92, 'feels_like': 271.92, 'pressure': 1038, 'humidity': 80, 'dew_point': 269.26, 'clouds': 11, 'wind_speed': 0.51, 'wind_deg': 0, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484751600, 'sunrise': 1484725207, 'sunset': 1484755272, 'temp': 271.89, 'feels_like': 271.89, 'pressure': 1039, 'humidity': 98, 'dew_point': 271.65, 'clouds': 100, 'visibility': 3000, 'wind_speed': 1.03, 'wind_deg': 110, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484838000, 'sunrise': 1484811544, 'sunset': 1484841773, 'temp': 275.46, 'feels_like': 273.38, 'pressure': 1037, 'humidity': 50, 'dew_point': 266.9, 'clouds': 0, 'visibility': 10000, 'wind_speed': 2, 'wind_deg': 80, 'wind_gust': 7, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1484924400, 'sunrise': 1484897877, 'sunset': 1484928276, 'temp': 276.34, 'feels_like': 273.48, 'pressure': 1035, 'humidity': 53, 'dew_point': 268.31, 'clouds': 100, 'visibility': 10000, 'wind_speed': 3, 'wind_deg': 60, 'wind_gust': 5, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485010800, 'sunrise': 1484984208, 'sunset': 1485014780, 'temp': 276.96, 'feels_like': 274.23, 'pressure': 1028, 'humidity': 75, 'dew_point': 272.97, 'clouds': 0, 'visibility': 10000, 'wind_speed': 3, 'wind_deg': 60, 'wind_gust': 7, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485097200, 'sunrise': 1485070537, 'sunset': 1485101286, 'temp': 276.47, 'feels_like': 273.57, 'pressure': 1026, 'humidity': 85, 'dew_point': 274.19, 'clouds': 0, 'visibility': 7000, 'wind_speed': 3.09, 'wind_deg': 280, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485183600, 'sunrise': 1485156863, 'sunset': 1485187792, 'temp': 276.07, 'feels_like': 272.72, 'pressure': 1026, 'humidity': 94, 'dew_point': 275.2, 'clouds': 100, 'visibility': 2300, 'wind_speed': 3.6, 'wind_deg': 180, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485270000, 'sunrise': 1485243186, 'sunset': 1485274299, 'temp': 274.89, 'feels_like': 272.72, 'pressure': 1029, 'humidity': 99, 'dew_point': 274.75, 'clouds': 100, 'visibility': 100, 'wind_speed': 2, 'wind_deg': 170, 'wind_gust': 5, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485356400, 'sunrise': 1485329507, 'sunset': 1485360807, 'temp': 272.94, 'feels_like': 269.32, 'pressure': 1029, 'humidity': 81, 'dew_point': 270.41, 'clouds': 100, 'visibility': 5000, 'wind_speed': 3.09, 'wind_deg': 130, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485442800, 'sunrise': 1485415826, 'sunset': 1485447317, 'temp': 273.54, 'feels_like': 268.72, 'pressure': 1022, 'humidity': 74, 'dew_point': 269.88, 'clouds': 0, 'visibility': 10000, 'wind_speed': 5, 'wind_deg': 130, 'wind_gust': 7, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485529200, 'sunrise': 1485502142, 'sunset': 1485533826, 'temp': 278.07, 'feels_like': 274.84, 'pressure': 1016, 'humidity': 74, 'dew_point': 273.83, 'clouds': 20, 'visibility': 10000, 'wind_speed': 4.12, 'wind_deg': 140, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485615600, 'sunrise': 1485588456, 'sunset': 1485620337, 'temp': 281.33, 'feels_like': 278.46, 'pressure': 1014, 'humidity': 71, 'dew_point': 276.39, 'clouds': 100, 'visibility': 10000, 'wind_speed': 5, 'wind_deg': 170, 'wind_gust': 8, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485702000, 'sunrise': 1485674768, 'sunset': 1485706848, 'temp': 278.88, 'feels_like': 275.34, 'pressure': 1016, 'humidity': 91, 'dew_point': 277.53, 'clouds': 100, 'visibility': 9000, 'wind_speed': 5.14, 'wind_deg': 200, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485788400, 'sunrise': 1485761077, 'sunset': 1485793360, 'temp': 277.22, 'feels_like': 273.32, 'pressure': 1010, 'humidity': 88, 'dew_point': 275.41, 'clouds': 100, 'visibility': 10000, 'wind_speed': 5, 'wind_deg': 360, 'wind_gust': 9, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485874800, 'sunrise': 1485847385, 'sunset': 1485879873, 'temp': 277.64, 'feels_like': 275.92, 'pressure': 1017, 'humidity': 82, 'dew_point': 274.84, 'clouds': 100, 'visibility': 10000, 'wind_speed': 2, 'wind_deg': 90, 'wind_gust': 5, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1485961200, 'sunrise': 1485933690, 'sunset': 1485966385, 'temp': 278.17, 'feels_like': 273.62, 'pressure': 1010, 'humidity': 79, 'dew_point': 274.84, 'clouds': 100, 'visibility': 10000, 'wind_speed': 7.2, 'wind_deg': 130, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486047600, 'sunrise': 1486019994, 'sunset': 1486052899, 'temp': 284.18, 'feels_like': 283.32, 'pressure': 1002, 'humidity': 76, 'dew_point': 280.12, 'clouds': 100, 'visibility': 10000, 'wind_speed': 7.2, 'wind_deg': 150, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486134000, 'sunrise': 1486106295, 'sunset': 1486139412, 'temp': 283.1, 'feels_like': 281.55, 'pressure': 1001, 'humidity': 81, 'dew_point': 280, 'clouds': 100, 'visibility': 10000, 'wind_speed': 3.09, 'wind_deg': 160, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486220400, 'sunrise': 1486192595, 'sunset': 1486225926, 'temp': 280.26, 'feels_like': 277.82, 'pressure': 998, 'humidity': 81, 'dew_point': 277.22, 'clouds': 20, 'visibility': 10000, 'wind_speed': 3.6, 'wind_deg': 70, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486306800, 'sunrise': 1486278892, 'sunset': 1486312440, 'temp': 279.68, 'feels_like': 277.49, 'pressure': 1003, 'humidity': 86, 'dew_point': 277.51, 'clouds': 100, 'visibility': 7000, 'wind_speed': 3, 'wind_deg': 10, 'wind_gust': 10, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486393200, 'sunrise': 1486365188, 'sunset': 1486398954, 'temp': 279.37, 'feels_like': 277.88, 'pressure': 1019, 'humidity': 83, 'dew_point': 276.7, 'clouds': 100, 'visibility': 10000, 'wind_speed': 2.06, 'wind_deg': 140, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486479600, 'sunrise': 1486451482, 'sunset': 1486485468, 'temp': 275.39, 'feels_like': 270.96, 'pressure': 1016, 'humidity': 94, 'dew_point': 274.53, 'clouds': 100, 'visibility': 2400, 'wind_speed': 5.14, 'wind_deg': 80, 'weather': [{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.21}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486566000, 'sunrise': 1486537775, 'sunset': 1486571983, 'temp': 272.86, 'feels_like': 266.45, 'pressure': 1026, 'humidity': 87, 'dew_point': 271.18, 'clouds': 100, 'visibility': 5650, 'wind_speed': 8, 'wind_deg': 59, 'wind_gust': 10, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486652400, 'sunrise': 1486624066, 'sunset': 1486658497, 'temp': 271.71, 'feels_like': 266.43, 'pressure': 1027, 'humidity': 81, 'dew_point': 269.2, 'clouds': 100, 'visibility': 6000, 'wind_speed': 5, 'wind_deg': 70, 'wind_gust': 9, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486738800, 'sunrise': 1486710355, 'sunset': 1486745011, 'temp': 271.72, 'feels_like': 267.85, 'pressure': 1022, 'humidity': 87, 'dew_point': 270.06, 'clouds': 100, 'visibility': 3000, 'wind_speed': 3.09, 'wind_deg': 70, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486825200, 'sunrise': 1486796642, 'sunset': 1486831526, 'temp': 273.89, 'feels_like': 268.81, 'pressure': 1021, 'humidity': 86, 'dew_point': 271.98, 'clouds': 100, 'visibility': 3600, 'wind_speed': 5.66, 'wind_deg': 60, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486911600, 'sunrise': 1486882929, 'sunset': 1486918040, 'temp': 274.94, 'feels_like': 269.89, 'pressure': 1026, 'humidity': 79, 'dew_point': 271.86, 'clouds': 0, 'visibility': 6000, 'wind_speed': 6.17, 'wind_deg': 80, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1486998000, 'sunrise': 1486969213, 'sunset': 1487004554, 'temp': 278.32, 'feels_like': 274.26, 'pressure': 1028, 'humidity': 69, 'dew_point': 273.11, 'clouds': 0, 'visibility': 9000, 'wind_speed': 6, 'wind_deg': 80, 'wind_gust': 10, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487084400, 'sunrise': 1487055496, 'sunset': 1487091068, 'temp': 281.31, 'feels_like': 279.45, 'pressure': 1029, 'humidity': 56, 'dew_point': 273.08, 'clouds': 0, 'visibility': 10000, 'wind_speed': 3, 'wind_deg': 130, 'wind_gust': 6, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487170800, 'sunrise': 1487141778, 'sunset': 1487177582, 'temp': 285.22, 'feels_like': 284.13, 'pressure': 1030, 'humidity': 63, 'dew_point': 278.4, 'clouds': 1, 'visibility': 10000, 'wind_speed': 5, 'wind_deg': 160, 'wind_gust': 6, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487257200, 'sunrise': 1487228059, 'sunset': 1487264095, 'temp': 280.76, 'feels_like': 277.02, 'pressure': 1028, 'humidity': 92, 'dew_point': 279.55, 'clouds': 100, 'visibility': 10000, 'wind_speed': 7, 'wind_deg': 250, 'wind_gust': 10, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487343600, 'sunrise': 1487314338, 'sunset': 1487350609, 'temp': 280.42, 'feels_like': 277.8, 'pressure': 1026, 'humidity': 88, 'dew_point': 278.57, 'clouds': 100, 'visibility': 10000, 'wind_speed': 4, 'wind_deg': 310, 'wind_gust': 9, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487430000, 'sunrise': 1487400616, 'sunset': 1487437122, 'temp': 281.61, 'feels_like': 279.26, 'pressure': 1025, 'humidity': 78, 'dew_point': 278, 'clouds': 0, 'visibility': 6000, 'wind_speed': 4, 'wind_deg': 190, 'wind_gust': 6, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487516400, 'sunrise': 1487486893, 'sunset': 1487523635, 'temp': 281.24, 'feels_like': 277.97, 'pressure': 1020, 'humidity': 82, 'dew_point': 278.36, 'clouds': 100, 'visibility': 10000, 'wind_speed': 6, 'wind_deg': 280, 'wind_gust': 9, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487602800, 'sunrise': 1487573168, 'sunset': 1487610147, 'temp': 282.7, 'feels_like': 279.24, 'pressure': 1013, 'humidity': 92, 'dew_point': 281.47, 'clouds': 100, 'visibility': 8000, 'wind_speed': 8, 'wind_deg': 250, 'wind_gust': 13, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487689200, 'sunrise': 1487659443, 'sunset': 1487696660, 'temp': 282.02, 'feels_like': 278.96, 'pressure': 1014, 'humidity': 72, 'dew_point': 277.25, 'clouds': 0, 'visibility': 10000, 'wind_speed': 6, 'wind_deg': 260, 'wind_gust': 9, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487775600, 'sunrise': 1487745716, 'sunset': 1487783172, 'temp': 281.02, 'feels_like': 278.08, 'pressure': 1004, 'humidity': 95, 'dew_point': 280.27, 'clouds': 40, 'visibility': 6000, 'wind_speed': 5, 'wind_deg': 250, 'wind_gust': 13, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'rain': {'1h': 1.02}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487862000, 'sunrise': 1487831988, 'sunset': 1487869684, 'temp': 281.9, 'feels_like': 276.39, 'pressure': 985, 'humidity': 66, 'dew_point': 275.91, 'clouds': 100, 'visibility': 10000, 'wind_speed': 17.49, 'wind_deg': 230, 'wind_gust': 24.69, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'rain': {'1h': 0.31}}"
52.378,4.8971,Europe/Amsterdam,3600,"{'dt': 1487948400, 'sunrise': 1487918260, 'sunset': 1487956195, 'temp': 279.64, 'feels_like': 275.94, 'pressure': 1015, 'humidity': 67, 'dew_point': 273.96, 'clouds': 20, 'visibility': 10000, 'wind_speed': 6, 'wind_deg': 300, 'wind_gust': 10, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]}"
